Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
7.699,3.515,3.361,19.877,47.6241002520433
7.754,3.347,2.916,17.733,39.6248518046886
7.61,3.815,3.096,20.936,47.0629096054851
7.201,3.373,3.244,17.413,41.2561426417154
7.012,3.491,3.349,18.449,42.9245277774508
6.961,3.703,3.013,16.427,40.6652175285966
6.968,3.074,2.765,14.535,31.0102853909914
7.608,3.408,2.831,17.466,38.4333801587812
6.883,3.377,2.426,17.615,29.525567177138
7.568,3.27,3.127,17.243,40.5186884850728
7.402,3.432,3.151,17.69,41.9124825306144
