Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
4.758,2.435,2.367,8.836,14.3588706583903,-18.4349479675293,-56.3099365234375
5.375,2.421,2.382,9.316,16.2298175433267,-20.9245014190674,-25.3461780548096
4.393,2.218,2.1,7.624,10.7137291300809,0,-53.1301002502441
5.186,2.467,2.346,9.63,15.7155032222645,-30.1413860321045,-23.1985912322998
5.505,2.489,2.198,8.836,15.7691589324429,-63.4349517822266,-15.2551183700562
5.052,2.311,2.056,8.66,12.5685454509887,-30.9637546539307,-75.579231262207
5.164,2.414,2.226,9.185,14.5293866660793,-36.8698959350586,-26.5650501251221
5.708,2.599,2.335,11.19,18.1374300765508,-38.2901649475098,-55.4914779663086
5.654,2.574,2.36,11.182,17.9835311702973,-53.1301002502441,-64.7988815307617
5.077,2.44,2,7.517,12.9725576005173,-51.3401908874512,-6.34019184112549
3.85,2.146,2.034,6.454,8.79913575283301,-60.2551155090332,-6.70983743667603
5.128,2.671,2.134,10.423,15.3043518599792,0,-42.5104484558105
