Length(mm),Width(mm),Depth(mm),CenterMainX(px),Area(mm^2),Volume(mm^3),Time(millisec)
7.72166666666667,3.51433333333333,3.07866666666667,0,20.6916666666667,43.7461996997126,0
7.46866666666667,3.31866666666667,3.10766666666667,0,19.041,40.3327547972771,0
7.62133333333333,3.501,3.14766666666667,0,20.7523333333333,43.9743054621451,0
7.26266666666667,3.67966666666667,3.201,0,20.9146666666667,44.7983682797078,0
6.791,3.596,3.263,0,18.211,41.7223833998833,0
5.9425,2.6335,2.268,0,11.966,18.5849004307004,0
7.62633333333333,3.93333333333333,3.61866666666667,0,22.702,56.8452250162044,0
6.098,2.805,2.5395,0,12.107,22.7448201650253,0
7.21133333333333,3.17633333333333,2.99566666666667,0,15.572,35.9269519881476,0
6.33166666666667,3.343,2.81533333333333,0,15.15,31.2095819077164,0
5.632,2.765,2.379,0,12.226,19.397727145788,0
6.284,2.557,2.549,0,12.286,21.4454598017895,0
7.40433333333333,3.683,3.239,0,19.738,46.2601827102258,0
7.39066666666667,3.035,2.91766666666667,0,17.078,34.2766485226295,0
6.6735,2.925,2.572,0,15.0725,26.2877916639758,0
7.074,3.78366666666667,2.67633333333333,0,20.7603333333333,37.5071004128554,0
6.4785,3.5125,3.1555,0,17.4115,37.5890443867379,0
6.4635,2.8215,2.5515,0,14.367,24.3658375317372,0
7.347,3.277,2.742,0,18.299,34.5648007123773,0
7.588,2.8435,2.7275,0,15.615,30.8085171389797,0
7.36866666666667,3.07233333333333,3.02566666666667,0,16.9883333333333,35.8661264537083,0
7.39066666666667,4.031,3.14233333333333,0,20.222,49.0270450052715,0
6.3565,2.8125,2.651,0,14.1515,24.8152891150623,0
7.698,3.31975,3.084,0,20.28425,41.2730996105926,0
7.43766666666667,3.28,3.104,0,18.8126666666667,39.6502799771017,0
7.2545,3.46125,3.116,0,19.29875,41.0059514094498,0
7.25266666666667,3.662,3.18333333333333,0,20.7753333333333,44.2701149272407,0
